BIOD01888,BIOD01124	NA:-205.6
BIOD00794,BIOD02201	NA:-109
BIOD00729,BIOD00122	NA:-155.7
BIOD02542,BIOD01594	NA:-150.8
BIOD00923,BIOD02587	NA:-155.7
BIOD01893,BIOD02365	NA:-155.7
BIOD01105,BIOD00695	NA:-122.5
BIOD00690,BIOD02030	NA:-155.7
BIOD01168,BIOD00380	NA:-155.7
BIOD00705,BIOD01456	NA:-125.5
BIOD01124,BIOD01581	-297.34
BIOD02542,BIOD02587	-218.36
BIOD00925,BIOD01026	-208.79
